testcat, modules, coeffset, cstruct, target, cfgstr, max-shift, wsize-in, freq, clbs, luts, ffs, dsps, fmax, logic-levels, power (total), power (static), power (dynamic)
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 6, 600, 13, 14, 17, 0, 757.00, 4  (CARRY4=3 SRLC32E=1), 0.679, 0.637, 0.043
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 7, 200, 12, 15, 19, 0, 603.14, 2  (CARRY4=1 SRLC32E=1), 0.652, 0.636, 0.015
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 7, 400, 12, 15, 19, 0, 603.86, 2  (CARRY4=1 SRLC32E=1), 0.667, 0.636, 0.031
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 7, 600, 15, 15, 19, 0, 807.75, 3  (CARRY4=2 SRLC32E=1), 0.683, 0.637, 0.046
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 8, 200, 15, 16, 21, 0, 578.70, 2  (CARRY4=1 SRLC32E=1), 0.653, 0.636, 0.016
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 8, 400, 14, 16, 21, 0, 578.03, 3  (CARRY4=2 SRLC32E=1), 0.669, 0.636, 0.033
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 8, 600, 17, 16, 21, 0, 745.16, 3  (CARRY4=2 SRLC32E=1), 0.686, 0.637, 0.049
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 10, 200, 17, 18, 25, 0, 542.89, 2  (CARRY4=1 SRLC32E=1), 0.655, 0.636, 0.019
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 10, 400, 15, 18, 25, 0, 559.91, 4  (CARRY4=3 SRLC32E=1), 0.674, 0.637, 0.037
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 10, 600, 17, 18, 25, 0, 716.85, 4  (CARRY4=3 SRLC32E=1), 0.693, 0.637, 0.056
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 12, 200, 19, 20, 29, 0, 512.03, 4  (CARRY4=3 SRLC32E=1), 0.657, 0.636, 0.021
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 12, 400, 16, 20, 29, 0, 592.07, 4  (CARRY4=3 SRLC32E=1), 0.678, 0.637, 0.042
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 12, 600, 21, 20, 29, 0, 713.27, 4  (CARRY4=3 SRLC32E=1), 0.700, 0.637, 0.063
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 16, 200, 19, 24, 37, 0, 472.14, 4  (CARRY4=3 SRLC32E=1), 0.662, 0.636, 0.025
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 16, 400, 17, 24, 37, 0, 551.57, 5  (CARRY4=4 SRLC32E=1), 0.687, 0.637, 0.050
recfg_ring, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 16, 600, 25, 24, 37, 0, 686.81, 5  (CARRY4=4 SRLC32E=1), 0.713, 0.637, 0.076
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 16, 600, 25, 27, 37, 0, 695.41, 6  (CARRY4=5 SRLC32E=1), 0.732, 0.637, 0.095
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 16, 200, 21, 27, 37, 0, 473.93, 6  (CARRY4=5 SRLC32E=1), 0.668, 0.636, 0.032
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 16, 400, 21, 27, 37, 0, 557.72, 6  (CARRY4=5 SRLC32E=1), 0.700, 0.637, 0.063
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 4, 200, 13, 15, 13, 0, 666.67, 3  (CARRY4=2 SRLC32E=1), 0.651, 0.636, 0.015
