testcat, modules, coeffset, cstruct, target, cfgstr, max-shift, wsize-in, freq, clbs, luts, ffs, dsps, fmax, logic-levels, power (total), power (static), power (dynamic)
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 5, 600, 6, 9, 13, 0, 898.47, 3  (CARRY4=2 LUT5=1), 0.679, 0.637, 0.042
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 5, 400, 4, 9, 13, 0, 924.21, 3  (CARRY4=2 LUT5=1), 0.664, 0.636, 0.028
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 5, 200, 4, 9, 13, 0, 924.21, 3  (CARRY4=2 LUT5=1), 0.650, 0.636, 0.014
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 6, 200, 6, 10, 15, 0, 767.46, 3  (CARRY4=2 LUT5=1), 0.652, 0.636, 0.016
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 6, 400, 6, 10, 15, 0, 767.46, 3  (CARRY4=2 LUT5=1), 0.668, 0.636, 0.031
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 6, 600, 8, 10, 15, 0, 859.11, 3  (CARRY4=2 LUT4=1), 0.684, 0.637, 0.047
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 7, 200, 7, 11, 17, 0, 651.04, 4  (CARRY4=3 LUT5=1), 0.654, 0.636, 0.017
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 7, 400, 7, 11, 17, 0, 751.31, 4  (CARRY4=3 LUT5=1), 0.671, 0.637, 0.035
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 7, 600, 7, 11, 17, 0, 834.03, 4  (CARRY4=3 LUT4=1), 0.689, 0.637, 0.052
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 8, 200, 7, 12, 19, 0, 749.06, 3  (CARRY4=2 LUT5=1), 0.655, 0.636, 0.019
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 8, 400, 7, 12, 19, 0, 749.06, 3  (CARRY4=2 LUT5=1), 0.674, 0.637, 0.038
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 8, 600, 8, 12, 19, 0, 868.06, 3  (CARRY4=2 LUT5=1), 0.694, 0.637, 0.057
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 10, 200, 9, 14, 23, 0, 679.81, 4  (CARRY4=3 LUT4=1), 0.659, 0.636, 0.022
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 10, 400, 9, 14, 23, 0, 679.81, 4  (CARRY4=3 LUT4=1), 0.681, 0.637, 0.045
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 10, 600, 12, 14, 23, 0, 865.80, 4  (CARRY4=3 LUT5=1), 0.704, 0.637, 0.067
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 12, 200, 8, 16, 27, 0, 629.72, 5  (CARRY4=4 LUT5=1), 0.662, 0.636, 0.026
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 12, 400, 8, 16, 27, 0, 675.22, 4  (CARRY4=3 LUT5=1), 0.688, 0.637, 0.051
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 12, 600, 13, 16, 27, 0, 843.17, 4  (CARRY4=3 LUT5=1), 0.714, 0.637, 0.077
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 16, 200, 11, 20, 35, 0, 636.54, 4  (CARRY4=3 LUT5=1), 0.669, 0.636, 0.032
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 16, 400, 11, 20, 35, 0, 657.46, 6  (CARRY4=5 LUT5=1), 0.701, 0.637, 0.064
a_and_b, A B, -1 1 3 5, C1, virtex7, HM1-C1-A1246-012-0, 2, 16, 600, 16, 20, 35, 0, 816.33, 5  (CARRY4=4 LUT5=1), 0.734, 0.637, 0.097
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 4, 200, 5, 8, 11, 0, 753.58, 2  (CARRY4=1 LUT4=1), 0.647, 0.636, 0.011
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 4, 400, 5, 8, 11, 0, 753.58, 2  (CARRY4=1 LUT4=1), 0.659, 0.636, 0.022
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 4, 600, 5, 8, 11, 0, 859.11, 3  (CARRY4=2 LUT4=1), 0.670, 0.636, 0.034
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 5, 600, 6, 9, 13, 0, 911.58, 3  (CARRY4=2 LUT4=1), 0.675, 0.637, 0.038
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 5, 200, 4, 9, 13, 0, 878.73, 2  (CARRY4=2), 0.649, 0.636, 0.013
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 5, 400, 4, 9, 13, 0, 878.73, 2  (CARRY4=2), 0.662, 0.636, 0.025
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 6, 200, 6, 10, 15, 0, 723.59, 3  (CARRY4=2 LUT4=1), 0.651, 0.636, 0.014
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 6, 400, 6, 10, 15, 0, 723.59, 3  (CARRY4=2 LUT4=1), 0.665, 0.636, 0.029
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 6, 600, 8, 10, 15, 0, 859.11, 3  (CARRY4=2 LUT4=1), 0.680, 0.637, 0.043
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 7, 200, 7, 11, 17, 0, 691.56, 3  (CARRY4=2 LUT5=1), 0.652, 0.636, 0.016
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 7, 400, 7, 11, 17, 0, 740.19, 3  (CARRY4=2 LUT5=1), 0.668, 0.636, 0.032
